,Unnamed: 0,trial,stimulus,prime,prime_affect,word,word_affect,responsetime,accuracy
0,0,1,38,NH1,negative,payday,positive,849,1
1,1,2,61,NL2,negative,relax,positive,753,1
2,2,3,29,PL2,positive,morgue,negative,761,1
3,3,4,23,PL1,positive,fatal,negative,767,1
4,4,5,60,NL2,negative,arrest,negative,803,1
5,5,6,63,NL2,negative,excite,positive,742,1
6,6,7,37,NH1,negative,excite,positive,682,1
7,7,8,13,PH2,positive,fatal,negative,982,1
8,8,9,3,PH1,positive,relax,positive,662,1
9,9,10,43,NH2,negative,morgue,negative,600,1
10,10,11,16,PH2,positive,dismal,negative,665,1
11,11,12,12,PH2,positive,comfy,positive,783,1
12,12,13,5,PH1,positive,fatal,negative,626,1
13,13,14,10,PH2,positive,payday,positive,996,1
14,14,15,50,NL1,negative,dismal,negative,757,1
15,15,16,35,NH1,negative,morgue,negative,475,2
16,16,17,11,PH2,positive,relax,positive,786,1
17,17,18,8,PH1,positive,dismal,negative,629,1
18,18,19,26,PL2,positive,comfy,positive,660,1
19,19,20,51,NL1,negative,fatal,negative,711,1
20,20,21,24,PL1,positive,arrest,negative,875,1
21,21,22,64,NL2,negative,payday,positive,608,1
22,22,23,32,PL2,positive,arrest,negative,699,1
23,23,24,46,NH2,negative,payday,positive,574,1
24,24,25,22,PL1,positive,dismal,negative,589,1
25,25,26,57,NL2,negative,morgue,negative,818,1
26,26,27,52,NL1,negative,arrest,negative,615,1
27,27,28,15,PH2,positive,morgue,negative,810,1
28,28,29,1,PH1,positive,excite,positive,989,1
29,29,30,6,PH1,positive,arrest,negative,539,1
30,30,31,40,NH1,negative,comfy,positive,626,1
31,31,32,45,NH2,negative,excite,positive,728,1
32,32,33,58,NL2,negative,dismal,negative,608,1
33,33,34,18,PL1,positive,comfy,positive,578,1
34,34,35,49,NL1,negative,morgue,negative,624,1
35,35,36,20,PL1,positive,payday,positive,729,1
36,36,37,17,PL1,positive,relax,positive,477,1
37,37,38,62,NL2,negative,comfy,positive,577,1
38,38,39,9,PH2,positive,excite,positive,758,1
39,39,40,39,NH1,negative,relax,positive,618,1
40,40,41,42,NH2,negative,arrest,negative,743,1
41,41,42,27,PL2,positive,excite,positive,680,1
42,42,43,2,PH1,positive,payday,positive,916,1
43,43,44,59,NL2,negative,fatal,negative,645,1
44,44,45,47,NH2,negative,relax,positive,606,1
45,45,46,4,PH1,positive,comfy,positive,609,1
46,46,47,56,NL1,negative,payday,positive,539,1
47,47,48,54,NL1,negative,comfy,positive,596,1
48,48,49,34,NH1,negative,arrest,negative,652,1
49,49,50,21,PL1,positive,morgue,negative,584,1
50,50,51,31,PL2,positive,fatal,negative,635,1
51,51,52,19,PL1,positive,excite,positive,578,1
52,52,53,53,NL1,negative,relax,positive,542,1
53,53,54,55,NL1,negative,excite,positive,560,1
54,54,55,28,PL2,positive,payday,positive,617,1
55,55,56,30,PL2,positive,dismal,negative,636,1
56,56,57,48,NH2,negative,comfy,positive,704,1
57,57,58,14,PH2,positive,arrest,negative,553,1
58,58,59,7,PH1,positive,morgue,negative,620,1
59,59,60,41,NH2,negative,fatal,negative,555,1
60,60,61,33,NH1,negative,fatal,negative,539,1
61,61,62,36,NH1,negative,dismal,negative,418,1
62,62,63,3,PH1,positive,relax,positive,522,1
63,63,64,48,NH2,negative,comfy,positive,457,1
64,64,65,17,PL1,positive,relax,positive,505,1
65,65,66,23,PL1,positive,fatal,negative,551,1
66,66,67,40,NH1,negative,comfy,positive,392,1
67,67,68,11,PH2,positive,relax,positive,362,1
68,68,69,27,PL2,positive,excite,positive,333,1
69,69,70,14,PH2,positive,arrest,negative,274,2
70,70,71,61,NL2,negative,relax,positive,536,1
71,71,72,55,NL1,negative,excite,positive,426,1
72,72,73,58,NL2,negative,dismal,negative,448,1
73,73,74,60,NL2,negative,arrest,negative,537,1
74,74,75,53,NL1,negative,relax,positive,510,1
75,75,76,43,NH2,negative,morgue,negative,492,1
76,76,77,24,PL1,positive,arrest,negative,443,1
77,77,78,45,NH2,negative,excite,positive,465,1
78,78,79,5,PH1,positive,fatal,negative,455,1
79,79,80,49,NL1,negative,morgue,negative,432,1
80,80,81,20,PL1,positive,payday,positive,391,1
81,81,82,37,NH1,negative,excite,positive,463,1
82,82,83,35,NH1,negative,morgue,negative,449,1
83,83,84,15,PH2,positive,morgue,negative,300,2
84,84,85,64,NL2,negative,payday,positive,486,1
85,85,86,63,NL2,negative,excite,positive,465,2
86,86,87,56,NL1,negative,payday,positive,512,1
87,87,88,50,NL1,negative,dismal,negative,565,1
88,88,89,7,PH1,positive,morgue,negative,535,1
89,89,90,34,NH1,negative,arrest,negative,459,1
90,90,91,39,NH1,negative,relax,positive,499,1
91,91,92,47,NH2,negative,relax,positive,421,1
92,92,93,29,PL2,positive,morgue,negative,510,1
93,93,94,9,PH2,positive,excite,positive,421,1
94,94,95,12,PH2,positive,comfy,positive,467,1
95,95,96,25,PL2,positive,relax,positive,475,1
96,96,97,6,PH1,positive,arrest,negative,540,1
97,97,98,22,PL1,positive,dismal,negative,531,1
98,98,99,13,PH2,positive,fatal,negative,522,1
99,99,100,44,NH2,negative,dismal,negative,482,1
100,100,101,18,PL1,positive,comfy,positive,507,1
101,101,102,2,PH1,positive,payday,positive,489,1
102,102,103,4,PH1,positive,comfy,positive,479,1
103,103,104,21,PL1,positive,morgue,negative,480,1
104,104,105,54,NL1,negative,comfy,positive,476,1
105,105,106,38,NH1,negative,payday,positive,442,1
106,106,107,42,NH2,negative,arrest,negative,496,1
107,107,108,46,NH2,negative,payday,positive,541,1
108,108,109,33,NH1,negative,fatal,negative,443,1
109,109,110,52,NL1,negative,arrest,negative,400,1
110,110,111,59,NL2,negative,fatal,negative,394,1
111,111,112,62,NL2,negative,comfy,positive,425,1
112,112,113,1,PH1,positive,excite,positive,482,1
113,113,114,26,PL2,positive,comfy,positive,496,1
114,114,115,16,PH2,positive,dismal,negative,494,1
115,115,116,51,NL1,negative,fatal,negative,462,1
116,116,117,19,PL1,positive,excite,positive,506,1
117,117,118,32,PL2,positive,arrest,negative,461,1
118,118,119,31,PL2,positive,fatal,negative,434,1
119,119,120,41,NH2,negative,fatal,negative,414,1
120,120,121,30,PL2,positive,dismal,negative,486,1
121,121,122,41,NH2,negative,fatal,negative,910,1
122,122,123,57,NL2,negative,morgue,negative,1059,1
123,123,124,62,NL2,negative,comfy,positive,1055,1
124,124,125,37,NH1,negative,excite,positive,1088,1
125,125,126,23,PL1,positive,fatal,negative,661,1
126,126,127,10,PH2,positive,payday,positive,820,1
127,127,128,24,PL1,positive,arrest,negative,1075,1
128,128,129,30,PL2,positive,dismal,negative,1114,1
129,129,130,5,PH1,positive,fatal,negative,711,1
130,130,131,20,PL1,positive,payday,positive,921,1
131,131,132,61,NL2,negative,relax,positive,890,1
132,132,133,64,NL2,negative,payday,positive,926,1
133,133,134,2,PH1,positive,payday,positive,653,1
134,134,135,58,NL2,negative,dismal,negative,715,1
135,135,136,7,PH1,positive,morgue,negative,741,1
136,136,137,35,NH1,negative,morgue,negative,801,1
137,137,138,21,PL1,positive,morgue,negative,673,1
138,138,139,50,NL1,negative,dismal,negative,668,1
