Frequency of A note,Condition,Response,Frequency Difference
880.0,1,1,0.1
880.0,1,1,0.1
880.0,1,1,0.1
880.0,1,1,0.1
880.0,2,2,0.1
880.0,2,2,0.1
880.0,2,2,0.07071067811865475
880.0,2,2,0.07071067811865475
880.0,2,2,0.049999999999999996
880.0,1,1,0.049999999999999996
880.0,1,1,0.03535533905932737
880.0,2,2,0.03535533905932737
880.0,2,2,0.024999999999999994
880.0,1,1,0.024999999999999994
880.0,2,2,0.017677669529663684
880.0,2,2,0.017677669529663684
880.0,2,2,0.012499999999999997
880.0,2,2,0.012499999999999997
880.0,1,1,0.008838834764831842
880.0,1,1,0.008838834764831842
880.0,1,1,0.006249999999999999
880.0,1,1,0.006249999999999999
880.0,1,1,0.004419417382415921
880.0,2,2,0.004419417382415921
880.0,1,1,0.0031249999999999993
880.0,2,2,0.0031249999999999993
880.0,2,2,0.0022097086912079606
880.0,2,2,0.0022097086912079606
880.0,1,1,0.0015624999999999997
880.0,1,2,0.0015624999999999997
880.0,1,2,0.0022097086912079606
880.0,1,2,0.0031249999999999997
880.0,1,2,0.004419417382415922
880.0,1,2,0.00625
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
