Frequency of A note,Condition,Response,Frequency Difference
440.0,2,2,0.1
440.0,1,2,0.1
440.0,1,1,0.1
440.0,2,2,0.1
440.0,2,2,0.1
440.0,1,1,0.1
440.0,1,2,0.07071067811865475
440.0,2,2,0.1
440.0,2,2,0.1
440.0,2,2,0.07071067811865475
440.0,1,1,0.07071067811865475
440.0,1,1,0.049999999999999996
440.0,1,1,0.049999999999999996
440.0,1,2,0.03535533905932737
440.0,1,1,0.049999999999999996
440.0,1,1,0.049999999999999996
440.0,2,2,0.03535533905932737
440.0,1,1,0.03535533905932737
440.0,1,1,0.024999999999999994
440.0,1,1,0.024999999999999994
440.0,2,2,0.017677669529663684
440.0,1,1,0.017677669529663684
440.0,1,1,0.012499999999999997
440.0,1,1,0.012499999999999997
440.0,1,1,0.008838834764831842
440.0,2,2,0.008838834764831842
440.0,2,2,0.006249999999999999
440.0,2,2,0.006249999999999999
440.0,2,2,0.004419417382415921
440.0,2,2,0.004419417382415921
440.0,1,1,0.0031249999999999993
440.0,1,1,0.0031249999999999993
440.0,1,2,0.0022097086912079606
440.0,1,1,0.0031249999999999997
440.0,1,1,0.0031249999999999997
440.0,2,2,0.0022097086912079606
440.0,2,2,0.0022097086912079606
440.0,2,2,0.0015624999999999997
440.0,2,1,0.0015624999999999997
440.0,1,1,0.0022097086912079606
440.0,2,2,0.0022097086912079606
440.0,1,1,0.0015624999999999997
440.0,1,2,0.0015624999999999997
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
